label,potential_home_1,potential_home_2,overall_rating_home_3,overall_rating_home_4,overall_rating_home_5,ball_control_home_5,overall_rating_home_6,potential_home_6,overall_rating_home_7,overall_rating_home_8,overall_rating_home_9,positioning_home_10,overall_rating_home_11,overall_rating_away_1,overall_rating_away_2,overall_rating_away_3,potential_away_3,overall_rating_away_4,marking_away_4,standing_tackle_away_4,overall_rating_away_5,overall_rating_away_6,overall_rating_away_7,overall_rating_away_8,overall_rating_away_9,positioning_away_10,overall_rating_away_11,potential_away_11
1,74.0,70.0,68.0,67.0,66.0,65.0,66.0,72.0,63.0,69.0,69.0,74.0,67.0,67.0,64.0,66.0,66.0,60.0,68.0,68.0,64.0,64.0,62.0,65.0,62.0,69.0,60.0,65.0
1,72.0,68.0,67.0,64.0,69.0,67.0,67.0,67.0,66.0,64.0,66.68539325842697,69.0,65.0,63.0,62.0,66.0,66.0,58.0,56.0,55.0,65.0,67.0,66.0,61.0,61.0,65.5,61.0,61.0
1,78.0,74.0,71.0,72.0,71.0,66.0,74.0,80.0,72.0,67.0,59.0,65.0,70.0,63.0,62.0,58.0,62.0,66.0,62.0,65.0,61.0,67.0,64.0,60.0,66.0,68.0,60.0,68.0
2,73.0,68.0,66.0,68.0,63.0,58.0,68.0,68.0,68.0,69.0,72.0,64.0,67.0,63.0,62.0,65.0,65.0,64.0,63.0,64.0,59.0,60.0,61.0,60.0,66.0,68.0,62.0,70.0
1,69.0,71.0,64.0,65.0,66.0,63.0,66.0,66.0,67.0,66.0,68.0,66.0,65.0,63.0,62.0,66.0,66.0,58.0,56.0,55.0,59.0,60.0,65.0,60.0,66.0,68.0,62.0,70.0
1,72.0,73.0,74.0,66.0,72.0,67.0,71.0,71.0,69.0,72.0,73.0,65.0,71.0,67.0,66.0,59.0,67.0,62.0,61.0,62.0,67.0,60.0,65.0,61.0,66.0,56.0,61.0,61.0
1,67.0,65.0,67.0,62.0,64.0,47.0,66.0,66.0,68.0,63.0,70.0,51.0,69.0,67.0,67.0,58.0,62.0,64.0,63.0,64.0,59.0,60.0,65.0,60.0,66.0,62.88461538461539,61.0,61.0
1,72.0,66.0,64.0,64.0,62.0,62.0,64.0,71.0,62.0,68.0,70.0,57.0,62.0,67.0,58.0,59.0,67.0,66.0,62.0,65.0,65.0,64.0,60.0,67.0,66.0,56.0,62.0,70.0
1,68.0,65.0,66.0,63.0,62.0,61.0,65.0,65.0,65.0,66.0,67.0,70.0,68.0,67.0,66.0,58.0,62.0,59.0,61.0,62.0,62.0,67.0,60.0,65.0,66.0,68.0,62.0,70.0
0,76.0,70.0,70.0,74.0,73.0,68.0,71.0,72.0,72.0,64.0,71.0,78.0,71.0,67.0,66.0,58.0,62.0,59.0,61.0,62.0,62.0,67.0,60.0,64.0,61.0,61.0,61.0,61.0
